LevelEditor                                                      game.load-scene
Tracks MoveType type enum -5 21 int2 30                          zone.add-distance
Tracks MoveType type enum -5 20 int2 30                          zone.add-distance
Tracks MoveType type enum -3 18 int2 30                          zone.add-distance
Tracks MoveType type enum -11 24 int2 31                         zone.add-distance
Tracks MoveType type enum -9 26 int2 31                          zone.add-distance
Tracks MoveType type enum -5 22 int2 31                          zone.add-distance
Tracks MoveType type enum -10 25 int2 31                         zone.add-distance
Tracks MoveType type enum -8 25 int2 31                          zone.add-distance
Tracks MoveType type enum -7 24 int2 31                          zone.add-distance
Tracks MoveType type enum -4 21 int2 31                          zone.add-distance
Tracks MoveType type enum -10 26 int2 32                         zone.add-distance
Tracks MoveType type enum -8 26 int2 32                          zone.add-distance
Tracks MoveType type enum -6 24 int2 32                          zone.add-distance
Tracks MoveType type enum -5 23 int2 32                          zone.add-distance
Tracks MoveType type enum -11 25 int2 32                         zone.add-distance
Tracks MoveType type enum -7 25 int2 32                          zone.add-distance
Tracks MoveType type enum -3 21 int2 32                          zone.add-distance
Tracks MoveType type enum -6 23 int2 32                          zone.add-distance
Tracks MoveType type enum -3 19 int2 32                          zone.add-distance
Tracks MoveType type enum -6 25 int2 33                          zone.add-distance
Tracks MoveType type enum -3 20 int2 33                          zone.add-distance
Tracks MoveType type enum -3 22 int2 33                          zone.add-distance
Tracks MoveType type enum -11 26 int2 33                         zone.add-distance
Tracks MoveType type enum -4 23 int2 33                          zone.add-distance
Tracks MoveType type enum -7 26 int2 33                          zone.add-distance
Tracks MoveType type enum -4 22 int2 33                          zone.add-distance
Tracks MoveType type enum -6 26 int2 34                          zone.add-distance
Tracks MoveType type enum -5 25 int2 34                          zone.add-distance
Tracks MoveType type enum -4 24 int2 34                          zone.add-distance
Tracks MoveType type enum -3 23 int2 34                          zone.add-distance
Tracks MoveType type enum -5 24 int2 34                          zone.add-distance
Tracks MoveType type enum -5 26 int2 35                          zone.add-distance
Tracks MoveType type enum -4 25 int2 35                          zone.add-distance
Tracks MoveType type enum -3 24 int2 35                          zone.add-distance
Tracks MoveType type enum -4 26 int2 36                          zone.add-distance
Tracks MoveType type enum -3 25 int2 36                          zone.add-distance
Tracks MoveType type enum -3 26 int2 37                          zone.add-distance
Tracks MoveType type enum -6 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -6 9 int2 99999                        zone.add-distance
Tracks MoveType type enum -6 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -5 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -5 9 int2 99999                        zone.add-distance
Tracks MoveType type enum -5 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 9 int2 99999                        zone.add-distance
Tracks MoveType type enum -4 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -3 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -25 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -25 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -25 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -25 10 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 13 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 17 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 19 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 20 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 21 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 22 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 23 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 24 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 25 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 26 int2 99999                      zone.add-distance
Tracks MoveType type enum -25 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -24 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -23 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -23 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -22 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -22 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -21 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -21 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -20 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -20 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -19 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -19 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -18 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -18 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -17 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -17 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -16 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -16 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -15 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -15 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -14 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -14 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -14 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -14 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -13 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -13 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -13 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 17 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -12 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -12 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -12 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 17 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -11 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -11 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -11 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 7 int2 99999                       zone.add-distance
Tracks MoveType type enum -10 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -10 9 int2 99999                       zone.add-distance
Tracks MoveType type enum -10 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 14 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 15 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 27 int2 99999                      zone.add-distance
Tracks MoveType type enum -9 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -9 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -8 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -8 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -7 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -7 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -6 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -6 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -5 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -5 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -4 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -3 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -3 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 7 int2 99999                        zone.add-distance
Tracks MoveType type enum -2 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -2 9 int2 99999                        zone.add-distance
Tracks MoveType type enum -2 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 12 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 13 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 14 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 15 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 16 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 17 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 18 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 19 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 20 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 21 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 22 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 23 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 24 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 25 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 26 int2 99999                       zone.add-distance
Tracks MoveType type enum -2 27 int2 99999                       zone.add-distance
Tracks MoveType type enum -24 10 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 11 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 12 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 24 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 25 int2 99999                      zone.add-distance
Tracks MoveType type enum -24 26 int2 99999                      zone.add-distance
Tracks MoveType type enum -21 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -20 8 int2 99999                       zone.add-distance
Tracks MoveType type enum -20 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -19 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -18 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -17 16 int2 99999                      zone.add-distance
Tracks MoveType type enum -17 17 int2 99999                      zone.add-distance
Tracks MoveType type enum -17 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -13 19 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 19 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 20 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 24 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 25 int2 99999                      zone.add-distance
Tracks MoveType type enum -12 26 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 18 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 19 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 20 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 21 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 22 int2 99999                      zone.add-distance
Tracks MoveType type enum -11 23 int2 99999                      zone.add-distance
Tracks MoveType type enum -10 19 int2 99999                      zone.add-distance
Tracks MoveType type enum -7 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -7 9 int2 99999                        zone.add-distance
Tracks MoveType type enum -7 10 int2 99999                       zone.add-distance
Tracks MoveType type enum -7 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -6 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -5 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -5 19 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 19 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 20 int2 99999                       zone.add-distance
Tracks MoveType type enum -3 11 int2 99999                       zone.add-distance
Tracks MoveType type enum -4 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -3 8 int2 99999                        zone.add-distance
Tracks MoveType type enum -3 9 int2 99999                        zone.add-distance
Air MoveType type enum -20 19 int2 0                             zone.add-distance
Air MoveType type enum -20 20 int2 0                             zone.add-distance
Air MoveType type enum -20 21 int2 0                             zone.add-distance
Air MoveType type enum -19 19 int2 0                             zone.add-distance
Air MoveType type enum -19 20 int2 0                             zone.add-distance
Air MoveType type enum -19 21 int2 0                             zone.add-distance
Air MoveType type enum -19 22 int2 0                             zone.add-distance
Air MoveType type enum -18 19 int2 0                             zone.add-distance
Air MoveType type enum -18 20 int2 0                             zone.add-distance
Air MoveType type enum -18 21 int2 0                             zone.add-distance
Air MoveType type enum -18 22 int2 0                             zone.add-distance
Air MoveType type enum -17 19 int2 0                             zone.add-distance
Air MoveType type enum -17 20 int2 0                             zone.add-distance
Air MoveType type enum -17 21 int2 0                             zone.add-distance
Air MoveType type enum -17 22 int2 0                             zone.add-distance
Air MoveType type enum -20 22 int2 0                             zone.add-distance
Air MoveType type enum -21 19 int2 1                             zone.add-distance
Air MoveType type enum -21 20 int2 1                             zone.add-distance
Air MoveType type enum -21 21 int2 1                             zone.add-distance
Air MoveType type enum -19 23 int2 1                             zone.add-distance
Air MoveType type enum -18 23 int2 1                             zone.add-distance
Air MoveType type enum -17 23 int2 1                             zone.add-distance
Air MoveType type enum -16 19 int2 1                             zone.add-distance
Air MoveType type enum -16 21 int2 1                             zone.add-distance
Air MoveType type enum -16 22 int2 1                             zone.add-distance
Air MoveType type enum -20 23 int2 1                             zone.add-distance
Air MoveType type enum -20 18 int2 1                             zone.add-distance
Air MoveType type enum -19 18 int2 1                             zone.add-distance
Air MoveType type enum -18 18 int2 1                             zone.add-distance
Air MoveType type enum -17 18 int2 1                             zone.add-distance
Air MoveType type enum -21 22 int2 1                             zone.add-distance
Air MoveType type enum -16 20 int2 1                             zone.add-distance
Air MoveType type enum -22 19 int2 2                             zone.add-distance
Air MoveType type enum -22 20 int2 2                             zone.add-distance
Air MoveType type enum -22 21 int2 2                             zone.add-distance
Air MoveType type enum -22 22 int2 2                             zone.add-distance
Air MoveType type enum -21 18 int2 2                             zone.add-distance
Air MoveType type enum -20 17 int2 2                             zone.add-distance
Air MoveType type enum -19 17 int2 2                             zone.add-distance
Air MoveType type enum -19 24 int2 2                             zone.add-distance
Air MoveType type enum -18 17 int2 2                             zone.add-distance
Air MoveType type enum -18 24 int2 2                             zone.add-distance
Air MoveType type enum -17 24 int2 2                             zone.add-distance
Air MoveType type enum -16 18 int2 2                             zone.add-distance
Air MoveType type enum -16 23 int2 2                             zone.add-distance
Air MoveType type enum -15 19 int2 2                             zone.add-distance
Air MoveType type enum -15 20 int2 2                             zone.add-distance
Air MoveType type enum -15 21 int2 2                             zone.add-distance
Air MoveType type enum -15 22 int2 2                             zone.add-distance
Air MoveType type enum -20 24 int2 2                             zone.add-distance
Air MoveType type enum -17 17 int2 2                             zone.add-distance
Air MoveType type enum -21 23 int2 2                             zone.add-distance
Air MoveType type enum -23 19 int2 3                             zone.add-distance
Air MoveType type enum -23 20 int2 3                             zone.add-distance
Air MoveType type enum -23 21 int2 3                             zone.add-distance
Air MoveType type enum -23 22 int2 3                             zone.add-distance
Air MoveType type enum -22 18 int2 3                             zone.add-distance
Air MoveType type enum -22 23 int2 3                             zone.add-distance
Air MoveType type enum -21 17 int2 3                             zone.add-distance
Air MoveType type enum -21 24 int2 3                             zone.add-distance
Air MoveType type enum -20 16 int2 3                             zone.add-distance
Air MoveType type enum -19 16 int2 3                             zone.add-distance
Air MoveType type enum -18 25 int2 3                             zone.add-distance
Air MoveType type enum -17 25 int2 3                             zone.add-distance
Air MoveType type enum -16 24 int2 3                             zone.add-distance
Air MoveType type enum -15 18 int2 3                             zone.add-distance
Air MoveType type enum -15 23 int2 3                             zone.add-distance
Air MoveType type enum -14 19 int2 3                             zone.add-distance
Air MoveType type enum -14 20 int2 3                             zone.add-distance
Air MoveType type enum -14 21 int2 3                             zone.add-distance
Air MoveType type enum -20 25 int2 3                             zone.add-distance
Air MoveType type enum -17 16 int2 3                             zone.add-distance
Air MoveType type enum -19 25 int2 3                             zone.add-distance
Air MoveType type enum -18 16 int2 3                             zone.add-distance
Air MoveType type enum -16 17 int2 3                             zone.add-distance
Air MoveType type enum -14 22 int2 3                             zone.add-distance
Air MoveType type enum -24 20 int2 4                             zone.add-distance
Air MoveType type enum -24 21 int2 4                             zone.add-distance
Air MoveType type enum -24 22 int2 4                             zone.add-distance
Air MoveType type enum -23 18 int2 4                             zone.add-distance
Air MoveType type enum -23 23 int2 4                             zone.add-distance
Air MoveType type enum -22 24 int2 4                             zone.add-distance
Air MoveType type enum -21 16 int2 4                             zone.add-distance
Air MoveType type enum -21 25 int2 4                             zone.add-distance
Air MoveType type enum -16 25 int2 4                             zone.add-distance
Air MoveType type enum -15 24 int2 4                             zone.add-distance
Air MoveType type enum -13 22 int2 4                             zone.add-distance
Air MoveType type enum -20 15 int2 4                             zone.add-distance
Air MoveType type enum -20 26 int2 4                             zone.add-distance
Air MoveType type enum -19 26 int2 4                             zone.add-distance
Air MoveType type enum -18 26 int2 4                             zone.add-distance
Air MoveType type enum -17 26 int2 4                             zone.add-distance
Air MoveType type enum -15 17 int2 4                             zone.add-distance
Air MoveType type enum -14 18 int2 4                             zone.add-distance
Air MoveType type enum -13 19 int2 4                             zone.add-distance
Air MoveType type enum -24 19 int2 4                             zone.add-distance
Air MoveType type enum -22 17 int2 4                             zone.add-distance
Air MoveType type enum -19 15 int2 4                             zone.add-distance
Air MoveType type enum -18 15 int2 4                             zone.add-distance
Air MoveType type enum -17 15 int2 4                             zone.add-distance
Air MoveType type enum -16 16 int2 4                             zone.add-distance
Air MoveType type enum -14 23 int2 4                             zone.add-distance
Air MoveType type enum -13 20 int2 4                             zone.add-distance
Air MoveType type enum -13 21 int2 4                             zone.add-distance
Air MoveType type enum -23 24 int2 5                             zone.add-distance
Air MoveType type enum -22 25 int2 5                             zone.add-distance
Air MoveType type enum -15 25 int2 5                             zone.add-distance
Air MoveType type enum -21 15 int2 5                             zone.add-distance
Air MoveType type enum -20 14 int2 5                             zone.add-distance
Air MoveType type enum -16 26 int2 5                             zone.add-distance
Air MoveType type enum -14 17 int2 5                             zone.add-distance
Air MoveType type enum -25 19 int2 5                             zone.add-distance
Air MoveType type enum -25 20 int2 5                             zone.add-distance
Air MoveType type enum -25 21 int2 5                             zone.add-distance
Air MoveType type enum -25 22 int2 5                             zone.add-distance
Air MoveType type enum -20 27 int2 5                             zone.add-distance
Air MoveType type enum -19 27 int2 5                             zone.add-distance
Air MoveType type enum -18 27 int2 5                             zone.add-distance
Air MoveType type enum -17 27 int2 5                             zone.add-distance
Air MoveType type enum -13 18 int2 5                             zone.add-distance
Air MoveType type enum -12 19 int2 5                             zone.add-distance
Air MoveType type enum -12 20 int2 5                             zone.add-distance
Air MoveType type enum -24 18 int2 5                             zone.add-distance
Air MoveType type enum -24 23 int2 5                             zone.add-distance
Air MoveType type enum -23 17 int2 5                             zone.add-distance
Air MoveType type enum -22 16 int2 5                             zone.add-distance
Air MoveType type enum -19 14 int2 5                             zone.add-distance
Air MoveType type enum -18 14 int2 5                             zone.add-distance
Air MoveType type enum -17 14 int2 5                             zone.add-distance
Air MoveType type enum -16 15 int2 5                             zone.add-distance
Air MoveType type enum -15 16 int2 5                             zone.add-distance
Air MoveType type enum -14 24 int2 5                             zone.add-distance
Air MoveType type enum -13 23 int2 5                             zone.add-distance
Air MoveType type enum -12 21 int2 5                             zone.add-distance
Air MoveType type enum -12 22 int2 5                             zone.add-distance
Air MoveType type enum -21 26 int2 5                             zone.add-distance
Air MoveType type enum -22 26 int2 6                             zone.add-distance
Air MoveType type enum -14 25 int2 6                             zone.add-distance
Air MoveType type enum -23 16 int2 6                             zone.add-distance
Air MoveType type enum -22 15 int2 6                             zone.add-distance
Air MoveType type enum -21 14 int2 6                             zone.add-distance
Air MoveType type enum -20 13 int2 6                             zone.add-distance
Air MoveType type enum -15 26 int2 6                             zone.add-distance
Air MoveType type enum -25 18 int2 6                             zone.add-distance
Air MoveType type enum -25 23 int2 6                             zone.add-distance
Air MoveType type enum -21 27 int2 6                             zone.add-distance
Air MoveType type enum -16 27 int2 6                             zone.add-distance
Air MoveType type enum -14 16 int2 6                             zone.add-distance
Air MoveType type enum -13 17 int2 6                             zone.add-distance
Air MoveType type enum -12 18 int2 6                             zone.add-distance
Air MoveType type enum -24 24 int2 6                             zone.add-distance
Air MoveType type enum -11 19 int2 6                             zone.add-distance
Air MoveType type enum -11 20 int2 6                             zone.add-distance
Air MoveType type enum -11 21 int2 6                             zone.add-distance
Air MoveType type enum -11 22 int2 6                             zone.add-distance
Air MoveType type enum -24 17 int2 6                             zone.add-distance
Air MoveType type enum -23 25 int2 6                             zone.add-distance
Air MoveType type enum -19 13 int2 6                             zone.add-distance
Air MoveType type enum -18 13 int2 6                             zone.add-distance
Air MoveType type enum -17 13 int2 6                             zone.add-distance
Air MoveType type enum -16 14 int2 6                             zone.add-distance
Air MoveType type enum -15 15 int2 6                             zone.add-distance
Air MoveType type enum -13 24 int2 6                             zone.add-distance
Air MoveType type enum -12 23 int2 6                             zone.add-distance
Air MoveType type enum -24 16 int2 7                             zone.add-distance
Air MoveType type enum -20 12 int2 7                             zone.add-distance
Air MoveType type enum -19 12 int2 7                             zone.add-distance
Air MoveType type enum -10 20 int2 7                             zone.add-distance
Air MoveType type enum -10 21 int2 7                             zone.add-distance
Air MoveType type enum -10 22 int2 7                             zone.add-distance
Air MoveType type enum -23 15 int2 7                             zone.add-distance
Air MoveType type enum -22 14 int2 7                             zone.add-distance
Air MoveType type enum -21 13 int2 7                             zone.add-distance
Air MoveType type enum -25 17 int2 7                             zone.add-distance
Air MoveType type enum -25 24 int2 7                             zone.add-distance
Air MoveType type enum -22 27 int2 7                             zone.add-distance
Air MoveType type enum -15 27 int2 7                             zone.add-distance
Air MoveType type enum -14 15 int2 7                             zone.add-distance
Air MoveType type enum -13 16 int2 7                             zone.add-distance
Air MoveType type enum -12 17 int2 7                             zone.add-distance
Air MoveType type enum -24 25 int2 7                             zone.add-distance
Air MoveType type enum -12 24 int2 7                             zone.add-distance
Air MoveType type enum -11 18 int2 7                             zone.add-distance
Air MoveType type enum -11 23 int2 7                             zone.add-distance
Air MoveType type enum -10 19 int2 7                             zone.add-distance
Air MoveType type enum -23 26 int2 7                             zone.add-distance
Air MoveType type enum -18 12 int2 7                             zone.add-distance
Air MoveType type enum -17 12 int2 7                             zone.add-distance
Air MoveType type enum -16 13 int2 7                             zone.add-distance
Air MoveType type enum -15 14 int2 7                             zone.add-distance
Air MoveType type enum -13 25 int2 7                             zone.add-distance
Air MoveType type enum -14 26 int2 7                             zone.add-distance
Air MoveType type enum -11 24 int2 8                             zone.add-distance
Air MoveType type enum -24 15 int2 8                             zone.add-distance
Air MoveType type enum -21 12 int2 8                             zone.add-distance
Air MoveType type enum -19 11 int2 8                             zone.add-distance
Air MoveType type enum -10 18 int2 8                             zone.add-distance
Air MoveType type enum -10 23 int2 8                             zone.add-distance
Air MoveType type enum -9 19 int2 8                              zone.add-distance
Air MoveType type enum -9 20 int2 8                              zone.add-distance
Air MoveType type enum -9 21 int2 8                              zone.add-distance
Air MoveType type enum -9 22 int2 8                              zone.add-distance
Air MoveType type enum -23 14 int2 8                             zone.add-distance
Air MoveType type enum -22 13 int2 8                             zone.add-distance
Air MoveType type enum -25 16 int2 8                             zone.add-distance
Air MoveType type enum -25 25 int2 8                             zone.add-distance
Air MoveType type enum -23 27 int2 8                             zone.add-distance
Air MoveType type enum -14 14 int2 8                             zone.add-distance
Air MoveType type enum -14 27 int2 8                             zone.add-distance
Air MoveType type enum -13 15 int2 8                             zone.add-distance
Air MoveType type enum -12 16 int2 8                             zone.add-distance
Air MoveType type enum -24 26 int2 8                             zone.add-distance
Air MoveType type enum -12 25 int2 8                             zone.add-distance
Air MoveType type enum -20 11 int2 8                             zone.add-distance
Air MoveType type enum -18 11 int2 8                             zone.add-distance
Air MoveType type enum -17 11 int2 8                             zone.add-distance
Air MoveType type enum -16 12 int2 8                             zone.add-distance
Air MoveType type enum -15 13 int2 8                             zone.add-distance
Air MoveType type enum -13 26 int2 8                             zone.add-distance
Air MoveType type enum -11 17 int2 8                             zone.add-distance
Air MoveType type enum -24 14 int2 9                             zone.add-distance
Air MoveType type enum -22 12 int2 9                             zone.add-distance
Air MoveType type enum -20 10 int2 9                             zone.add-distance
Air MoveType type enum -19 10 int2 9                             zone.add-distance
Air MoveType type enum -10 17 int2 9                             zone.add-distance
Air MoveType type enum -10 24 int2 9                             zone.add-distance
Air MoveType type enum -9 18 int2 9                              zone.add-distance
Air MoveType type enum -9 23 int2 9                              zone.add-distance
Air MoveType type enum -8 19 int2 9                              zone.add-distance
Air MoveType type enum -8 20 int2 9                              zone.add-distance
Air MoveType type enum -8 21 int2 9                              zone.add-distance
Air MoveType type enum -8 22 int2 9                              zone.add-distance
Air MoveType type enum -23 13 int2 9                             zone.add-distance
Air MoveType type enum -14 13 int2 9                             zone.add-distance
Air MoveType type enum -11 25 int2 9                             zone.add-distance
Air MoveType type enum -25 15 int2 9                             zone.add-distance
Air MoveType type enum -25 26 int2 9                             zone.add-distance
Air MoveType type enum -24 27 int2 9                             zone.add-distance
Air MoveType type enum -13 14 int2 9                             zone.add-distance
Air MoveType type enum -13 27 int2 9                             zone.add-distance
Air MoveType type enum -12 15 int2 9                             zone.add-distance
Air MoveType type enum -11 16 int2 9                             zone.add-distance
Air MoveType type enum -12 26 int2 9                             zone.add-distance
Air MoveType type enum -21 11 int2 9                             zone.add-distance
Air MoveType type enum -18 10 int2 9                             zone.add-distance
Air MoveType type enum -17 10 int2 9                             zone.add-distance
Air MoveType type enum -16 11 int2 9                             zone.add-distance
Air MoveType type enum -15 12 int2 9                             zone.add-distance
Air MoveType type enum -22 11 int2 10                            zone.add-distance
Air MoveType type enum -21 10 int2 10                            zone.add-distance
Air MoveType type enum -20 9 int2 10                             zone.add-distance
Air MoveType type enum -19 9 int2 10                             zone.add-distance
Air MoveType type enum -11 26 int2 10                            zone.add-distance
Air MoveType type enum -9 17 int2 10                             zone.add-distance
Air MoveType type enum -9 24 int2 10                             zone.add-distance
Air MoveType type enum -8 18 int2 10                             zone.add-distance
Air MoveType type enum -8 23 int2 10                             zone.add-distance
Air MoveType type enum -23 12 int2 10                            zone.add-distance
Air MoveType type enum -13 13 int2 10                            zone.add-distance
Air MoveType type enum -10 25 int2 10                            zone.add-distance
Air MoveType type enum -7 19 int2 10                             zone.add-distance
Air MoveType type enum -7 20 int2 10                             zone.add-distance
Air MoveType type enum -7 21 int2 10                             zone.add-distance
Air MoveType type enum -7 22 int2 10                             zone.add-distance
Air MoveType type enum -25 14 int2 10                            zone.add-distance
Air MoveType type enum -25 27 int2 10                            zone.add-distance
Air MoveType type enum -14 12 int2 10                            zone.add-distance
